date,open,high,low,close,volume
06-11-2015,16.9315,17.1687,16.8555,17.0359,158037510
09-11-2015,17.1118,17.1592,16.6657,16.7796,129920743
10-11-2015,16.7321,17.0264,16.6657,16.9409,59905761
11-11-2015,17.0738,17.0738,16.7796,16.846,59235017
12-11-2015,16.6847,16.7321,16.4664,16.4854,77850874
13-11-2015,16.2576,16.4284,16.2196,16.324,103574885
16-11-2015,16.2576,16.5708,16.1437,16.5423,70384338
17-11-2015,16.6088,16.7037,16.4569,16.5328,70488605
18-11-2015,16.5423,16.9599,16.5423,16.9315,85708326
19-11-2015,16.8745,16.9409,16.7227,16.7891,51829659
20-11-2015,16.903,16.9244,16.6942,16.7511,56288301
23-11-2015,16.7227,16.8271,16.5708,16.5803,50362933
24-11-2015,16.381,16.6752,16.3715,16.5803,58724233
25-11-2015,16.6183,16.6752,16.5234,16.5518,34939034
27-11-2015,16.5708,16.6088,16.4474,16.5898,22937528
30-11-2015,16.5898,16.6847,16.5328,16.5423,61893692
01-12-2015,16.6277,16.903,16.5898,16.903,74351824
02-12-2015,17.0172,17.0267,16.7031,16.7697,76918990
03-12-2015,16.8268,16.9077,16.4176,16.4652,95810096
04-12-2015,16.5984,16.9696,16.5413,16.941,103021728
07-12-2015,16.9315,16.941,16.5984,16.6936,81633309
08-12-2015,16.5508,16.6165,16.3034,16.3605,84873480
09-12-2015,16.2843,16.5413,16.0559,16.2748,82418050
10-12-2015,16.3224,16.5699,16.1416,16.37,68395011
11-12-2015,16.1511,16.2368,15.837,15.9227,91451006
14-12-2015,15.9512,16.075,15.699,15.9893,121121243
15-12-2015,16.1987,16.646,16.1701,16.5794,99737154
16-12-2015,16.7983,16.922,16.3986,16.8935,171576652
17-12-2015,16.941,16.9696,16.4652,16.4652,97265726
18-12-2015,16.3605,16.4319,15.9512,15.9512,136737824
21-12-2015,16.1606,16.2081,15.9607,16.1511,65150270
22-12-2015,16.2272,16.2843,16.0369,16.2558,56173502
23-12-2015,16.3319,16.5032,16.2701,16.5032,65770672
24-12-2015,16.4842,16.5413,16.389,16.4366,29373415
28-12-2015,16.389,16.3986,16.1606,16.3034,41777497
29-12-2015,16.4176,16.5128,16.3319,16.4461,45670376
30-12-2015,16.37,16.4081,16.2177,16.2272,35066378
31-12-2015,16.1892,16.2463,16.0179,16.0179,47152968
04-01-2016,15.6562,15.6943,15.4658,15.6372,114888046
05-01-2016,15.7228,15.7894,15.4468,15.6372,66669974
06-01-2016,15.4087,15.5039,15.2469,15.304,102760810
07-01-2016,14.9709,15.1327,14.6949,14.752,116255879
08-01-2016,15.1708,15.1708,14.4284,14.4665,124782383
11-01-2016,14.5236,14.6283,14.2191,14.5712,104611654
12-01-2016,14.7901,14.8282,14.3333,14.5712,100023530
13-01-2016,14.7235,14.7711,14.1334,14.181,119412972
14-01-2016,14.2857,14.4665,13.9431,14.2666,125920025
15-01-2016,13.7146,13.9526,13.4481,13.7622,172296066
19-01-2016,13.9811,14.0763,13.3339,13.5528,185727446
20-01-2016,13.1246,13.3244,12.6296,13.0294,250537599
21-01-2016,13.0103,13.1721,12.6106,12.7153,188975952
22-01-2016,12.9913,13.0579,12.82,12.9056,169999791
25-01-2016,12.8866,12.8961,12.3156,12.3346,186419100
26-01-2016,12.4393,12.7058,12.4107,12.6677,124246906
27-01-2016,12.563,13.0674,12.5535,12.7153,124095820
28-01-2016,12.9342,13.0437,12.6201,12.8771,110996163
29-01-2016,13.0008,13.4672,12.9342,13.4577,159984093
01-02-2016,13.372,13.4101,13.1341,13.2863,105739440
02-02-2016,13.077,13.0817,12.4964,12.5916,147101219
03-02-2016,12.6392,12.6487,11.9158,12.4012,257664574
04-02-2016,12.268,12.9342,12.2632,12.6106,179394377
05-02-2016,12.6772,12.7437,12.268,12.3251,125842819
08-02-2016,12.0586,12.0871,11.5447,11.6779,221363577
09-02-2016,11.4114,11.8302,11.3829,11.6113,247348967
10-02-2016,11.8207,11.9349,11.3353,11.4019,227529981
11-02-2016,10.907,10.9926,10.4597,10.6215,375088650
12-02-2016,10.926,11.4495,10.8499,11.3733,245388351
16-02-2016,11.7826,11.7921,11.5256,11.6589,194306715
17-02-2016,11.9634,12.0776,11.8682,11.9539,221859376
18-02-2016,12.0967,12.1252,11.5161,11.6493,161539428
19-02-2016,11.6303,11.6493,11.4019,11.5447,121045561
22-02-2016,11.7826,11.9349,11.7636,11.9349,88865491
23-02-2016,11.8682,11.873,11.5161,11.5732,104498707
24-02-2016,11.3829,11.5637,11.0878,11.5447,159552845
25-02-2016,11.5542,11.735,11.5066,11.7255,103054561
26-02-2016,11.8873,12.3251,11.8016,12.0871,160314367
29-02-2016,12.0871,12.2394,11.9063,11.9158,123661082
01-03-2016,12.03,12.5725,12.011,12.5535,153558249
02-03-2016,12.6108,12.907,12.544,12.8115,139622457
03-03-2016,12.7828,12.9452,12.6586,12.8974,105082693
04-03-2016,13.1458,13.27,12.8879,12.9357,171410889
07-03-2016,12.8497,13.0121,12.7732,12.9261,97650344
08-03-2016,12.8019,12.864,12.4675,12.4771,125894779
09-03-2016,12.5822,12.6777,12.4198,12.5535,92253831
10-03-2016,12.6395,12.8019,12.4198,12.6777,123532756
11-03-2016,12.8401,13.2223,12.7732,13.1745,120409540
14-03-2016,13.1076,13.1267,12.8879,13.0312,87752938
15-03-2016,12.907,12.993,12.7924,12.9643,80464931
16-03-2016,12.907,13.1936,12.5057,12.7159,149645421
17-03-2016,12.6299,12.8736,12.4675,12.8019,122129018
18-03-2016,13.0694,13.2605,12.9452,13.1745,146616225
21-03-2016,13.184,13.4038,13.1076,13.2223,104695730
22-03-2016,13.0599,13.2223,13.0216,13.1458,83252050
23-03-2016,13.1554,13.2127,12.993,13.0121,95789696
24-03-2016,12.8115,13.079,12.6777,13.0694,94836539
28-03-2016,13.1172,13.1267,12.9357,13.0121,54498523
29-03-2016,12.9357,12.9357,12.6682,12.821,101606836
30-03-2016,12.8879,13.0503,12.8592,12.8783,85896962
31-03-2016,12.8879,13.0981,12.8497,12.9165,79592066
01-04-2016,12.8688,13.0407,12.7255,12.9548,73130946
04-04-2016,12.9357,13.0407,12.8115,12.907,59709598
05-04-2016,12.7064,12.7446,12.5726,12.6013,78445851
06-04-2016,12.6108,12.7064,12.5248,12.6777,62558514
07-04-2016,12.5631,12.6156,12.1809,12.2765,105704464
08-04-2016,12.4484,12.5535,12.286,12.3051,76548118
11-04-2016,12.3433,12.5057,12.3051,12.3911,79411476
12-04-2016,12.4198,12.735,12.3529,12.6777,100791577
13-04-2016,12.9452,13.2318,12.9261,13.1745,138647249
14-04-2016,13.0981,13.6426,13.0885,13.5089,179383276
15-04-2016,13.6331,13.6522,13.3274,13.3751,87958734
18-04-2016,13.2318,13.6044,13.2032,13.5375,81998236
19-04-2016,13.6235,13.891,13.6044,13.805,107153600
20-04-2016,13.9101,14.2732,13.8815,14.2636,115628677
21-04-2016,14.3114,14.4595,14.0916,14.235,121589015
22-04-2016,14.2015,14.4642,14.2015,14.4356,83456613
25-04-2016,14.3496,14.4642,14.149,14.2923,70489478
26-04-2016,14.3496,14.4642,14.1394,14.4165,84812392
27-04-2016,14.3496,14.6171,14.3114,14.3496,115788999
28-04-2016,14.2541,14.4069,14.1012,14.1299,78639319
29-04-2016,14.0725,14.1872,13.7859,13.9101,122128095
02-05-2016,13.9292,14.1203,13.7573,14.1108,68882814
03-05-2016,13.8624,13.8624,13.5184,13.7191,110548960
04-05-2016,13.4611,13.6331,13.3751,13.4993,99269709
05-05-2016,13.5184,13.6808,13.3751,13.4229,73145913
06-05-2016,13.2127,13.5089,13.184,13.4802,76595123
09-05-2016,13.4516,13.5566,13.2891,13.3656,55399577
10-05-2016,13.4516,13.6904,13.4229,13.6617,59870530
11-05-2016,13.614,13.8528,13.5566,13.5662,68088916
12-05-2016,13.6617,13.8241,13.4229,13.5089,72567145
13-05-2016,13.5184,13.7286,13.2509,13.2605,86193936
16-05-2016,13.2032,13.3942,13.184,13.3082,57848601
17-05-2016,13.27,13.4993,13.2032,13.3847,76273764
18-05-2016,13.3942,14.0916,13.3847,14.0343,151871694
19-05-2016,13.9436,14.2015,13.7859,13.8815,106156946
20-05-2016,13.9866,14.0439,13.7859,13.8719,81214003
23-05-2016,13.891,13.9483,13.7573,13.8241,66303181
